id,source,category,anomaly_type,sensor,operating_mode,pattern,normal_range,alarm_threshold,trip_threshold,description,action,reference
1,SKAB_EDA,operating_mode,normal,Volume_Flow_RateRMS,high_flow,stable,"120~128 L/min","< 110 L/min","< 90 L/min","고유량 모드 (2020-02-08) 정상 운영 유량 범위. 유량이 정상 범위 이하로 하락 시 이상 징조.","유량 트렌드 모니터링. 밸브 상태 점검.",SKAB_EDA
2,SKAB_EDA,operating_mode,normal,Volume_Flow_RateRMS,mid_flow,stable,"70~80 L/min","< 60 L/min","< 45 L/min","중유량 모드 (2020-03-01) 정상 운영 유량 범위.","유량 트렌드 모니터링.",SKAB_EDA
3,SKAB_EDA,operating_mode,normal,Volume_Flow_RateRMS,low_flow,stable,"28~36 L/min","< 24 L/min","< 20 L/min","저유량 모드 (2020-03-09) 정상 운영 유량 범위.","유량 트렌드 모니터링.",SKAB_EDA
4,SKAB_EDA,operating_mode,normal,Accelerometer1RMS,high_flow,stable,"0.20~0.28 g","0.35 g","0.45 g","고유량 모드 정상 진동 범위. 유량 높을수록 진동 큼.","진동 급격 상승 시 로터 불균형 점검.",SKAB_EDA
5,SKAB_EDA,operating_mode,normal,Accelerometer1RMS,mid_flow,stable,"0.075~0.090 g","0.12 g","0.18 g","중유량 모드 정상 진동 범위. 중/저유량 모드에서는 진동이 탐지 지표로 유효하지 않음 - 유량만 사용 권장.","중유량 모드에서는 유량(Volume Flow Rate) 위주로 탐지.",SKAB_EDA
6,SKAB_EDA,operating_mode,normal,Accelerometer1RMS,low_flow,stable,"0.024~0.032 g","0.050 g","0.080 g","저유량 모드 정상 진동 범위. 저유량에서 진동값 자체가 매우 작아 탐지 신뢰도 낮음 - 진동 탐지 포기.","저유량 모드에서는 유량(Volume Flow Rate) 단독 탐지.",SKAB_EDA
7,SKAB_EDA,operating_mode,normal,Temperature,high_flow,stable,"84~90 °C","N/A (SPC 트렌드 방식으로 전환)","N/A","고유량 모드 모터 본체 온도 정상 범위. 온도 z-score 탐지 포기 - 고유량 모드에서는 진동+유량으로만 탐지.","고유량 모드에서는 온도 단독 탐지 사용 안 함.",SKAB_EDA
8,SKAB_EDA,operating_mode,normal,Temperature,mid_flow,stable,"84~90 °C","N/A (SPC 트렌드 방식으로 전환)","N/A","중유량 모드 모터 본체 온도 정상 범위. 온도 z-score AUC 낮아 z-score 방식 포기. 지속 하락 트렌드 탐지로 전환.","온도 SPC 트렌드 방식 적용. 연속 하락 N포인트 이상 시 알람.",SKAB_EDA
9,SKAB_EDA,operating_mode,normal,Temperature,low_flow,stable,"65~78 °C","N/A (SPC 트렌드 방식으로 전환)","N/A","저유량 모드 모터 본체 온도 정상 범위. 저유량 모드에서는 유량만으로 탐지. 온도는 SPC 트렌드 보조 참고용.","저유량 모드에서는 유량(z > 0.45) 1순위. 온도 z-score 사용 안 함.",SKAB_EDA
10,SKAB_EDA,anomaly_pattern,valve1,Temperature,all,decreasing,"N/A","SPC: 이동평균 연속 하락 N≥5 포인트","SPC: 이동평균 기울기 < -0.05°C/s 이상 10초 지속","출구 밸브 닫힘 시 온도 점진적 하락 (80→74°C). 유체 순환 감소로 모터 냉각 부하 감소. 이상 시작 후 약 70초 내 최저점 도달. [수정] z-score 방식 포기 → SPC 이동평균 트렌드 기반 탐지로 전환. 이유: 온도 z-score AUC ~0.506으로 탐지 불가 수준.","밸브 상태 즉시 점검. 출구 라인 압력 확인. 유량 동시 확인.",SKAB_EDA
11,SKAB_EDA,anomaly_pattern,valve1,Volume_Flow_RateRMS,low_flow,slight_decrease,"N/A","z-score > 0.45 (저유량 1순위 임계값)","z-score > 1.0","출구 밸브 부분 닫힘으로 유량 소폭 감소 (32→31 L/min). [수정] 모드 분리 후 저유량 최적 임계값 z > 0.45 적용 (AUC 0.88). 기존 z > 1.5는 저유량 baseline 미분리로 과도하게 높았던 값.",", 유량 하락 지속 시 밸브 이상 판정. 온도 트렌드 동시 확인.",SKAB_EDA
12,SKAB_EDA,anomaly_pattern,valve1,Accelerometer1RMS,all,no_change,"N/A","사용 안 함 (탐지 포기)","N/A","출구 밸브 이상에서 진동 거의 무반응. 진동 단독으로 밸브 이상 탐지 불가. [확인] 중/저유량 모드에서 진동 탐지 지표 포기. 유량+온도 트렌드 조합으로만 판단.","중/저유량 모드에서 진동 사용 안 함. 유량 단독 탐지.",SKAB_EDA
